companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
Sampada Central Residency,29.2 Lac -  87.1 Lac,"in Ibrahimpatnam , Hyderabad",by Sampada Projects,,Possession in 2025,29.2,[- 87.1 Lac],"[('29.2', 'Lac', '87.1', 'Lac')]",['in Ibrahimpatnam '],[]
Surakshaa Elite,35.1 Lac -  84 Lac,"in Bandaraviryal , Hyderabad",by Surakshaa Infra Projects,,Possession in 2024,35.1,[- 84 Lac],"[('35.1', 'Lac', '84', 'Lac')]",['in Bandaraviryal '],[]
Bhanodayas Crystal,68.5 Lac -  95.2 Lac,"in Gundlapochampalli , Hyderabad",by Bhanodaya Constructions Pvt Ltd,4 Floor Plan,Possession in 2028,68.5,[- 95.2 Lac],"[('68.5', 'Lac', '95.2', 'Lac')]",['in Gundlapochampalli '],['4']
Prajay Virgin County Phase 2,,"in Baghmankhal , Hyderabad",by Prajay Engineers Syndicate Ltd.,,Possession in 2026,,[],[],['in Baghmankhal '],[]
Bricks Marvella,,"in Tellapur, Outer Ring Road , Hyderabad",by Bricks Ramabhupal Projects LLP,6 Floor Plan,Possession in 2027,,[],[],['in Tellapur'],['6']
AURUM,,"in Tellapur, Outer Ring Road , Hyderabad",by Anmol Construction,3 Floor Plan,Possession in 2028,,[],[],['in Tellapur'],['3']
Shadnagar Central Mall and Multiplex,,"in Shadnagar , Hyderabad",by Sensation Infracon Private Limited,,Possession in 2028,,[],[],['in Shadnagar '],[]
Shantivanam,,"in Chandupatla , Hyderabad",by Emvee Infra,,Ready To Move,,[],[],['in Chandupatla '],[]
Kaku Green Rich Homes,,"in Srisailam Highway , Hyderabad",by KAKU INFRA DEVELOPERS,,Possession in 2025,,[],[],['in Srisailam Highway '],[]
Sri Sai Sadan,,"in Madhapur , Hyderabad",0,,Ready To Move,,[],[],['in Madhapur '],[]
Makuta Nirvana,63.5 Lac -  1.05 Cr,"in Patancheruvu , Hyderabad",by Makuta Developers,7 Floor Plan,Possession in 2028,63.5,[- 1.05 Cr],"[('63.5', 'Lac', '1.05', 'Cr')]",['in Patancheruvu '],['7']
Devi Homes Samruddhi,55 Lac -  81 Lac,"in Patancheruvu , Hyderabad",by JAI SRIDEVI HOMES PVT.LTD.,13 Floor Plan,Possession in 2025,55.0,[- 81 Lac],"[('55', 'Lac', '81', 'Lac')]",['in Patancheruvu '],['13']
Auro Land,58 Lac -  93 Lac,"in Patancheruvu , Hyderabad",by Auro Realty,,Possession in 2028,58.0,[- 93 Lac],"[('58', 'Lac', '93', 'Lac')]",['in Patancheruvu '],[]
Sansa County,2.50 Cr -  2.65 Cr,"in Patancheruvu , Hyderabad",by Auro Realty,2 Floor Plan,Possession in 2027,250.0,[- 2.65 Cr],"[('2.50', 'Cr', '2.65', 'Cr')]",['in Patancheruvu '],['2']
Vaibhavis Vihaan Shikhara,92.8 Lac -  1.61 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Vaibhavi Infraa Projects,9 Floor Plan,Possession in 2028,92.8,[- 1.61 Cr],"[('92.8', 'Lac', '1.61', 'Cr')]",['in Tellapur'],['9']
Rajapushpa Casa Luxura,7.45 Cr -  8.79 Cr,"in Kokapet, Outer Ring Road , Hyderabad",by Rajapushpa Properties Pvt. Ltd.,5 Floor Plan,Possession in 2028,745.0,[- 8.79 Cr],"[('7.45', 'Cr', '8.79', 'Cr')]",['in Kokapet'],['5']
NLC Avanthi,55.8 Lac -  61 Lac,"in Ameenpur , Hyderabad",by Newland Constructions,4 Floor Plan,Possession in 2026,55.8,[- 61 Lac],"[('55.8', 'Lac', '61', 'Lac')]",['in Ameenpur '],['4']
Woxen Valley,,"in Sadashivpet , Hyderabad",by Vaakruthi Infra,,Ready To Move,,[],[],['in Sadashivpet '],[]
SRR Shadnagar Paradise County,,"in Shadnagar , Hyderabad",by SRR Fortune Developers,,Possession in 2024,,[],[],['in Shadnagar '],[]
GKRS PEARL CASCADE,,"in Bandlaguda Jagir , Hyderabad",by BPR Infrastructure Ltd.,2 Floor Plan,Possession in 2026,,[],[],['in Bandlaguda Jagir '],['2']
Royal Oaks Estates,,"in Zahirabad , Hyderabad",by Valleru Developers,,Possession in 2024,,[],[],['in Zahirabad '],[]
Riverfront,,"in Narsingi, Outer Ring Road , Hyderabad",by E Infra,9 Floor Plan,Possession in 2027,,[],[],['in Narsingi'],['9']
Ss Residency,,"in New Nallakunta , Hyderabad",0,,Ready To Move,,[],[],['in New Nallakunta '],[]
Varahi WHealth Atmos,,"in Sadashivpet , Hyderabad",by Western Magic Developers,,Ready To Move,,[],[],['in Sadashivpet '],[]
Prime Square,,"in Bapu Bagh Colony, Ramgopalpet, NH 7 , Hyderabad",0,2 Floor Plan,Ready To Move,,[],[],['in Bapu Bagh Colony'],['2']
Elegant Nivasa,86.6 Lac -  1.39 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Elegant Infra Properties,4 Floor Plan,Possession in 2026,86.6,[- 1.39 Cr],"[('86.6', 'Lac', '1.39', 'Cr')]",['in Tellapur'],['4']
NSL East Luxoria,1.77 Cr -  2.63 Cr,"in Uppal, NH 2 2 , Hyderabad",by NSL Infratech Pvt. Ltd.,20 Floor Plan,Possession in 2028,177.0,[- 2.63 Cr],"[('1.77', 'Cr', '2.63', 'Cr')]",['in Uppal'],['20']
Rainbow County,,"in Shadnagar , Hyderabad",by Bhashyam Realtors,,Ready To Move,,[],[],['in Shadnagar '],[]
Highway Orchards,,"in Burgul , Hyderabad",by Fortune View Pvt Ltd,,Ready To Move,,[],[],['in Burgul '],[]
Subhaga,27.9 Lac -  76 Lac,"in Sangareddy , Hyderabad",by J Group,,Possession in 2025,27.9,[- 76 Lac],"[('27.9', 'Lac', '76', 'Lac')]",['in Sangareddy '],[]
RV Krishang,3.70 Cr -  4.82 Cr,"in Raviryal, Outer Ring Road , Hyderabad",by RV Group,3 Floor Plan,Possession in 2027,370.0,[- 4.82 Cr],"[('3.70', 'Cr', '4.82', 'Cr')]",['in Raviryal'],['3']
Western Springs,2.02 Cr -  3.22 Cr,"in Puppalguda , Hyderabad",by Western Constructions,2 Floor Plan,Possession in 2027,202.0,[- 3.22 Cr],"[('2.02', 'Cr', '3.22', 'Cr')]",['in Puppalguda '],['2']
Sterlings Eutopia,49.4 Lac Onwards,"in Maheshwaram , Hyderabad",by Sterling Heights LLP,,Ready To Move,49.4,[],[],['in Maheshwaram '],[]
Canny Aravindam,,"in Bowrampet, Outer Ring Road , Hyderabad",by Canny Vistas,9 Floor Plan,Possession in 2028,,[],[],['in Bowrampet'],['9']
IWA,,"in Nanakaramguda , Hyderabad",by Srias Life Spaces LLP,6 Floor Plan,Possession in 2027,,[],[],['in Nanakaramguda '],['6']
SAS Crown ,,"in Kokapet, Outer Ring Road , Hyderabad",by SAS Infra,3 Floor Plan,Possession in 2025,,[],[],['in Kokapet'],['3']
Gachibowli Paradise Phase I,,"in Nandigaon , Hyderabad",by SRR Fortune Infra Pvt. Ltd.,,Ready To Move,,[],[],['in Nandigaon '],[]
Aparna Greenscapes,,"in Kompally , Hyderabad",by Aparna Constrcutions  Estates Pvt Ltd,5 Floor Plan,Possession in 2028,,[],[],['in Kompally '],['5']
Perams Aishwarya Pride,,"in Shankarpalle , Hyderabad",by GGR Infra Private Limited,,Possession in 2026,,[],[],['in Shankarpalle '],[]
Sterlings Eutopia,,"in Maheshwaram , Hyderabad",by Sterling Heights LLP,,Ready To Move,,[],[],['in Maheshwaram '],[]
Sterlings Eutopia,,"in Maheshwaram , Hyderabad",by Sterling Heights LLP,,Ready To Move,,[],[],['in Maheshwaram '],[]
The Prestige City,1.07 Cr -  2.40 Cr,"in Rajendranagar Mandal , Hyderabad",by Prestige Estates Projects Ltd.,21 Floor Plan,Possession in 2028,107.0,[- 2.40 Cr],"[('1.07', 'Cr', '2.40', 'Cr')]",['in Rajendranagar Mandal '],['21']
Sai Sravanthi Pavani Felicity,1.16 Cr -  1.84 Cr,"in Nizampet , Hyderabad",by Pavani Group,13 Floor Plan,Possession in 2026,115.99999999999999,[- 1.84 Cr],"[('1.16', 'Cr', '1.84', 'Cr')]",['in Nizampet '],['13']
Rajapushpa Aurelia,2.30 Cr -  3.36 Cr,"in Tellapur, Outer Ring Road , Hyderabad",by Rajapushpa Properties Pvt. Ltd.,4 Floor Plan,Possession in 2028,229.99999999999997,[- 3.36 Cr],"[('2.30', 'Cr', '3.36', 'Cr')]",['in Tellapur'],['4']
Skylark 1,73.8 Lac -  1.29 Cr,"in Kollur, Outer Ring Road , Hyderabad",by Abinandana Infra Reality LLP,12 Floor Plan,Possession in 2025,73.8,[- 1.29 Cr],"[('73.8', 'Lac', '1.29', 'Cr')]",['in Kollur'],['12']
Magna Solitaire,86.5 Lac -  1.55 Cr,"in Peeramcheru , Hyderabad",0,4 Floor Plan,Possession in 2028,86.5,[- 1.55 Cr],"[('86.5', 'Lac', '1.55', 'Cr')]",['in Peeramcheru '],['4']
Praneeth PBR Pranav Ixora,99.2 Lac -  2.37 Cr,"in Hyder Nagar, NH 9 , Hyderabad",by Praneeth Group,15 Floor Plan,Possession in 2026,99.2,[- 2.37 Cr],"[('99.2', 'Lac', '2.37', 'Cr')]",['in Hyder Nagar'],['15']
Sahasra,26.7 Lac -  64 Lac,"in Thimmareddypally , Hyderabad",by J Group,,Possession in 2025,26.7,[- 64 Lac],"[('26.7', 'Lac', '64', 'Lac')]",['in Thimmareddypally '],[]
Wave,92.2 Lac -  1.39 Cr,"in Kollur, Outer Ring Road , Hyderabad",by VENTURA ESTATE DEVELOPERS,1 Floor Plan,Possession in 2027,92.2,[- 1.39 Cr],"[('92.2', 'Lac', '1.39', 'Cr')]",['in Kollur'],['1']
The Line,1.20 Cr -  1.65 Cr,"in Gandipet , Hyderabad",by Terminus NCC  Urban and Optimity,7 Floor Plan,Possession in 2028,120.0,[- 1.65 Cr],"[('1.20', 'Cr', '1.65', 'Cr')]",['in Gandipet '],['7']
Nishija Akshita Eastern Meadows,17.7 Lac -  32.5 Lac,"in Ghatkesar, NH 2 2 , Hyderabad",by Nishija Akshita Infra LLP,,Possession in 2026,17.7,[- 32.5 Lac],"[('17.7', 'Lac', '32.5', 'Lac')]",['in Ghatkesar'],[]
ILIKA,,"in Adibatla , Hyderabad",by AMR Aditya Homes,11 Floor Plan,Possession in 2025,,[],[],['in Adibatla '],['11']
Aakruthi Arcadia,,"in Gajularamaram , Hyderabad",by Aakruthi Real Holdings LLP,9 Floor Plan,Possession in 2025,,[],[],['in Gajularamaram '],['9']
Riddhis Taranto Towers,,"in Patighanpur, Outer Ring Road , Hyderabad",by Riddhi Habitats LLP,5 Floor Plan,Possession in 2026,,[],[],['in Patighanpur'],['5']
Pavani Royale,,"in Kothur, NH 7 , Hyderabad",by Pavani Group,,Ongoing,,[],[],['in Kothur'],[]
By The Lake,,"in Shamshabad , Hyderabad",by Vertex Viva Private Limited,,Ready To Move,,[],[],['in Shamshabad '],[]
Vasavi Sarovar,91 Lac -  3.42 Cr,"in Kukatpally, NH 9 , Hyderabad",by Vasavi Group,8 Floor Plan,Possession in 2026,91.0,[- 3.42 Cr],"[('91', 'Lac', '3.42', 'Cr')]",['in Kukatpally'],['8']
Callisto5 Villas,,"in Raviryal, Outer Ring Road , Hyderabad",by Orange County Group,1 Floor Plan,Possession in 2028,,[],[],['in Raviryal'],['1']
Lakeview,,"in Sainikpuri , Hyderabad",by Modi Builders,,Ready To Move,,[],[],['in Sainikpuri '],[]
ASBL Loft,1.80 Cr -  2.11 Cr,"in Puppalguda , Hyderabad",by ASBL Ashoka Builders India Pvt Ltd,2 Floor Plan,Possession in 2026,180.0,[- 2.11 Cr],"[('1.80', 'Cr', '2.11', 'Cr')]",['in Puppalguda '],['2']
Risinia The Twinz,68.6 Lac -  1.13 Cr,"in Bachupally , Hyderabad",by Risinia Builders,5 Floor Plan,Possession in 2026,68.6,[- 1.13 Cr],"[('68.6', 'Lac', '1.13', 'Cr')]",['in Bachupally '],['5']
Raghavendra Panchajanya,1.39 Cr -  1.81 Cr,"in Chanda Nagar , Hyderabad",by Raghavendra Neelima Constructions,15 Floor Plan,Possession in 2028,139.0,[- 1.81 Cr],"[('1.39', 'Cr', '1.81', 'Cr')]",['in Chanda Nagar '],['15']
Team4 Arka,1.99 Cr -  4.14 Cr,"in Manikonda Jagir , Hyderabad",by Team4 Life Spaces Elite LLP,6 Floor Plan,Possession in 2029,199.0,[- 4.14 Cr],"[('1.99', 'Cr', '4.14', 'Cr')]",['in Manikonda Jagir '],['6']
Vertex 33 West,1.35 Cr -  1.67 Cr,"in Nalagandla , Hyderabad",by Vertex Homes Pvt. Ltd.,5 Floor Plan,Possession in 2028,135.0,[- 1.67 Cr],"[('1.35', 'Cr', '1.67', 'Cr')]",['in Nalagandla '],['5']
Tiara,74.2 Lac -  1.16 Cr,"in Bachupally , Hyderabad",by Srias Life Spaces LLP,4 Floor Plan,Possession in 2028,74.2,[- 1.16 Cr],"[('74.2', 'Lac', '1.16', 'Cr')]",['in Bachupally '],['4']
Maha Kshetra Prestige Avenue,,"in Sangareddy , Hyderabad",by Maha Kshetra Developers,,Ready To Move,,[],[],['in Sangareddy '],[]
The Crown Villas,,"in Indresham, Bachuguda , Hyderabad",by Greater Infra Projects,2 Floor Plan,Possession in 2025,,[],[],['in Indresham'],['2']
NSR County Phase 3,,"in Sangareddy , Hyderabad",by Alekhya Infraa Developers,,Possession in 2024,,[],[],['in Sangareddy '],[]
RRR Riverside,,"in Sangareddy , Hyderabad",by Yugandhar Real Stone,,Ready To Move,,[],[],['in Sangareddy '],[]
Emerald County,,"in Thimmapur , Hyderabad",by Bhashyam Realtors,,Under Construction,,[],[],['in Thimmapur '],[]
SS Fortune Heights,,"in Patancheruvu , Hyderabad",by SS Constructions,2 Floor Plan,Possession in 2024,,[],[],['in Patancheruvu '],['2']
Suradru,,"in Kandi , Hyderabad",by Prakash Group,,Ongoing,,[],[],['in Kandi '],[]
Sri Balaji County,,"in Shankarpalle , Hyderabad",by Maha Kshetra Developers,,Ongoing,,[],[],['in Shankarpalle '],[]
Nature Farms,,"in Balanagar , Hyderabad",by Green Space Avenues,,Ready To Move,,[],[],['in Balanagar '],[]
Biophilic Village,,"in Zahirabad , Hyderabad",by SSL Fortune Village ,,Ready To Move,,[],[],['in Zahirabad '],[]
Sri Krishna Residency,,"in Madhapur , Hyderabad",0,,Ready To Move,,[],[],['in Madhapur '],[]
MY HOME APAS,2.85 Cr -  3.98 Cr,"in Kokapet, Outer Ring Road , Hyderabad",by My Home Constructions Pvt. Ltd.,5 Floor Plan,Possession in 2028,285.0,[- 3.98 Cr],"[('2.85', 'Cr', '3.98', 'Cr')]",['in Kokapet'],['5']
EKAM by Prosperiti Homes,1.16 Cr -  1.59 Cr,"in Kollur, Outer Ring Road , Hyderabad",by PROSPERITI HOMES,4 Floor Plan,Possession in 2026,115.99999999999999,[- 1.59 Cr],"[('1.16', 'Cr', '1.59', 'Cr')]",['in Kollur'],['4']
AVLs Samskruthi,,"in Manikonda Jagir , Hyderabad",by AVL Constructions,7 Floor Plan,Possession in 2028,,[],[],['in Manikonda Jagir '],['7']
Urbanrise The World Of Joy,,"in Ameenpur , Hyderabad",by Urbanrise,3 Floor Plan,Possession in 2028,,[],[],['in Ameenpur '],['3']
Honer Signatis,,"in Kukatpally, NH 9 , Hyderabad",by Honer Prime Housing LLP,9 Floor Plan,Possession in 2027,,[],[],['in Kukatpally'],['9']
NLC Anandi,,"in Ameenpur , Hyderabad",by New Land Constructions,8 Floor Plan,Ready To Move,,[],[],['in Ameenpur '],['8']
Sita Village,,"in Kurmidda , Hyderabad",by AVC Homes Pvt. Ltd.,,Possession in 2024,,[],[],['in Kurmidda '],[]
Sunshine Green Meadows,,"in Bachupally , Hyderabad",by Sunshine Infra Private Limited,2 Floor Plan,Possession in 2025,,[],[],['in Bachupally '],['2']
Rai Chandani Business Bay,,"in Banjara Hills, NH 9 , Hyderabad",0,,Under Construction,,[],[],['in Banjara Hills'],[]
Royal Farms,,"in Narayankhed CT , Hyderabad",by Nature LIFESPACE,,Possession in 2026,,[],[],['in Narayankhed CT '],[]
Little England,,"in Polkampally , Hyderabad",by AVC Homes Pvt. Ltd.,,Ready To Move,,[],[],['in Polkampally '],[]
Adithya Enclave,,"in Sadashivpet , Hyderabad",by Alekhya Infraa Developers,,Ready To Move,,[],[],['in Sadashivpet '],[]
Aranya Kalanjali,1.29 Cr -  1.77 Cr,"in Kompally , Hyderabad",by Beams & Columns Developers LLP,6 Floor Plan,Possession in 2026,129.0,[- 1.77 Cr],"[('1.29', 'Cr', '1.77', 'Cr')]",['in Kompally '],['6']
Aparna Synergy,72.5 Lac -  1.33 Cr,"in Gandi Maisamma, Outer Ring Road , Hyderabad",by Aparna Constructions,9 Floor Plan,Possession in 2027,72.5,[- 1.33 Cr],"[('72.5', 'Lac', '1.33', 'Cr')]",['in Gandi Maisamma'],['9']
Gautami Heights,83.3 Lac -  1.37 Cr,"in Miyapur, NH 9 , Hyderabad",by Anuhar Homes Pvt. Ltd.,3 Floor Plan,Possession in 2026,83.3,[- 1.37 Cr],"[('83.3', 'Lac', '1.37', 'Cr')]",['in Miyapur'],['3']
Panchajanyas Syamala Elite,65 Lac -  88.8 Lac,"in Bachupally , Hyderabad",by Panchajanyas Infra Developers,5 Floor Plan,Possession in 2025,65.0,[- 88.8 Lac],"[('65', 'Lac', '88.8', 'Lac')]",['in Bachupally '],['5']
Quambiant Amaranthine,,"in Khajaguda , Hyderabad",by Quambiant Design Build Private Limited,7 Floor Plan,Possession in 2028,,[],[],['in Khajaguda '],['7']
Manhattan,,"in Khajaguda , Hyderabad",by Vamsiram Builders,5 Floor Plan,Possession in 2027,,[],[],['in Khajaguda '],['5']
Urban Heights,,"in Tukkuguda, Srisailam Highway , Hyderabad",by Urban Yards LLP,3 Floor Plan,Possession in 2026,,[],[],['in Tukkuguda'],['3']
Sukrithi Pride,,"in Sadashivpet , Hyderabad",by Subhagruha Projects India Pvt. Ltd.,,Possession in 2024,,[],[],['in Sadashivpet '],[]
Sadguna Vihaan,,"in Gagillapur , Hyderabad",by Sadguna Properties,6 Floor Plan,Possession in 2024,,[],[],['in Gagillapur '],['6']
Subhagruha Sukrithi Ayatana,,"in Sangareddy , Hyderabad",by Subhagruha Projects India Pvt. Ltd.,,Ready To Move,,[],[],['in Sangareddy '],[]
Serene Palms,,"in Sadashivpet , Hyderabad",by Subha Sree Group,,Ready To Move,,[],[],['in Sadashivpet '],[]
The World of Joy Miyapur,86.6 Lac -  2.18 Cr,"in Miyapur, NH 9 , Hyderabad",by Urbanrise,6 Floor Plan,Possession in 2028,86.6,[- 2.18 Cr],"[('86.6', 'Lac', '2.18', 'Cr')]",['in Miyapur'],['6']
Avantikas Arudra,73.7 Lac -  89.6 Lac,"in Bandlaguda Jagir , Hyderabad",by Avantika Projects,2 Floor Plan,Possession in 2025,73.7,[- 89.6 Lac],"[('73.7', 'Lac', '89.6', 'Lac')]",['in Bandlaguda Jagir '],['2']
Akshita Golden Breeze 4,24.7 Lac -  48.7 Lac,"in Maheshwaram , Hyderabad",by Akshita Infra,,Possession in 2025,24.7,[- 48.7 Lac],"[('24.7', 'Lac', '48.7', 'Lac')]",['in Maheshwaram '],[]
Abinandana Emerald,12.5 Lac -  2.10 Cr,"in Manikonda Jagir , Hyderabad",by Abinandana Infra Reality LLP,,Possession in 2025,12.5,[- 2.10 Cr],"[('12.5', 'Lac', '2.10', 'Cr')]",['in Manikonda Jagir '],[]
SVS Indraprastha,21.5 Lac -  42.3 Lac,"in Yadagirigutta , Hyderabad",by SVS Infra Developers,,Ready To Move,21.5,[- 42.3 Lac],"[('21.5', 'Lac', '42.3', 'Lac')]",['in Yadagirigutta '],[]
Sattva Lake Ridge,2.22 Cr -  6.78 Cr,"in Kokapet, Outer Ring Road , Hyderabad",by Sattva,8 Floor Plan,Possession in 2028,222.00000000000003,[- 6.78 Cr],"[('2.22', 'Cr', '6.78', 'Cr')]",['in Kokapet'],['8']
AR Homes Rise,63.7 Lac -  1.76 Cr,"in Kollur, Outer Ring Road , Hyderabad",by AR Homes,12 Floor Plan,Possession in 2028,63.7,[- 1.76 Cr],"[('63.7', 'Lac', '1.76', 'Cr')]",['in Kollur'],['12']
Shivantha Gardenia,,"in Isnapur, Outer Ring Road , Hyderabad",by SHIVANTHA INFRA ,2 Floor Plan,Possession in 2024,,[],[],['in Isnapur'],['2']
Life Style luxury Apartments,,"in Narsingi, Outer Ring Road , Hyderabad",by Lifestyle Projects,3 Floor Plan,Possession in 2025,,[],[],['in Narsingi'],['3']
Keerthi Sanctuary,,"in Kismatpur, Outer Ring Road , Hyderabad",by Keerthi Estates Pvt. Ltd.,3 Floor Plan,Possession in 2025,,[],[],['in Kismatpur'],['3']
Mayfair Sunrise,4.27 Cr -  6.72 Cr,"in Kollur, Outer Ring Road , Hyderabad",by Greenmark Developers,1 Floor Plan,Possession in 2026,426.99999999999994,[- 6.72 Cr],"[('4.27', 'Cr', '6.72', 'Cr')]",['in Kollur'],['1']
AR Park Pride,51.5 Lac -  77.4 Lac,"in Gundlapochampally, Outer Ring Road , Hyderabad",by AR Sunrise Infra,4 Floor Plan,Possession in 2024,51.5,[- 77.4 Lac],"[('51.5', 'Lac', '77.4', 'Lac')]",['in Gundlapochampally'],['4']
Srias Diamond Towers,,"in Financial District, Nanakram Guda , Hyderabad",by SAS Infra,8 Floor Plan,Possession in 2026,,[],[],['in Financial District'],['8']
Prestige Vaishnaoi Rainbow Waters,,"in Rai Durg , Hyderabad",by Prestige Group,2 Floor Plan,Possession in 2028,,[],[],['in Rai Durg '],['2']
Levonor Egeira,,"in Edulnagulapally , Hyderabad",by Levonor Lifespaces Private Limited ,5 Floor Plan,Possession in 2026,,[],[],['in Edulnagulapally '],['5']
Sunrise Nature Golden Galaxy Phase I,,"in Shadnagar , Hyderabad",by Sunrise Infra Properties Pvt. Ltd.,,Ongoing,,[],[],['in Shadnagar '],[]
Nature City,,"in Shadnagar , Hyderabad",by Century Homes,,Ready To Move,,[],[],['in Shadnagar '],[]
Rudhra Bhuvi,,"in Pragathi Nagar, Kukatpally , Hyderabad",by Rudhra Constructions,8 Floor Plan,Possession in 2024,,[],[],['in Pragathi Nagar'],['8']
Casagrand Hanford,,"in Mamidpally , Hyderabad",by Casagrand Builder Pvt. Ltd.,2 Floor Plan,Possession in 2025,,[],[],['in Mamidpally '],['2']
Golden County,,"in Nandigaon , Hyderabad",by Vinayaka Developers,,Under Construction,,[],[],['in Nandigaon '],[]
NR Infinity,,"in Beeramguda Main Road , Hyderabad",by NR Infra,15 Floor Plan,Possession in 2025,,[],[],['in Beeramguda Main Road '],['15']
Ramky One Astra,,"in Kokapet, Outer Ring Road , Hyderabad",by Ramky Estates & Farms Limited,10 Floor Plan,Possession in 2026,,[],[],['in Kokapet'],['10']
Urban County,,"in Kothur, NH 7 , Hyderabad",by Urban City Infra Developers,,Ready To Move,,[],[],['in Kothur'],[]
GKs Triad,,"in Yapral , Hyderabad",by GK Builders & Developers,4 Floor Plan,Ready To Move,,[],[],['in Yapral '],['4']
Lumbini Elysee,2.25 Cr -  4.78 Cr,"in Financial District, Nanakram Guda , Hyderabad",by Lumbini Constructions Ltd.,8 Floor Plan,Possession in 2025,225.0,[- 4.78 Cr],"[('2.25', 'Cr', '4.78', 'Cr')]",['in Financial District'],['8']
Primark Inspira,87.5 Lac -  1.67 Cr,"in Miyapur, NH 9 , Hyderabad",by Primark Developers,10 Floor Plan,Possession in 2025,87.5,[- 1.67 Cr],"[('87.5', 'Lac', '1.67', 'Cr')]",['in Miyapur'],['10']
Organo Damaragidda,2.95 Cr Onwards,"in Chevella , Hyderabad",by Organo Eco Habitats Pvt. Ltd.,,Possession in 2027,295.0,[],[],['in Chevella '],[]
Kompally County III,52.5 Lac -  98 Lac,"in Gundlapochampally, Outer Ring Road , Hyderabad",by Greater Infra Projects,,Possession in 2026,52.5,[- 98 Lac],"[('52.5', 'Lac', '98', 'Lac')]",['in Gundlapochampally'],[]
Bhavya Aspire Space Evora Villas,4.07 Cr -  5.34 Cr,"in Nandigaon , Hyderabad",by BHAVYA ASPIREHOMES INDIA LLP,,Possession in 2025,407.0,[- 5.34 Cr],"[('4.07', 'Cr', '5.34', 'Cr')]",['in Nandigaon '],[]
Candeur Lakescape,94 Lac -  1.74 Cr,"in Kondapur , Hyderabad",by Candeur Constructions,20 Floor Plan,Possession in 2027,94.0,[- 1.74 Cr],"[('94', 'Lac', '1.74', 'Cr')]",['in Kondapur '],['20']
Radhey SKYE,86.1 Lac -  1.69 Cr,"in Kollur, Outer Ring Road , Hyderabad",by Cloudswood Constructions Private Limited,7 Floor Plan,Possession in 2026,86.1,[- 1.69 Cr],"[('86.1', 'Lac', '1.69', 'Cr')]",['in Kollur'],['7']
Vishnu Nilayam,67.8 Lac -  73.1 Lac,"in Bachupally , Hyderabad",by AGMR Projects Pvt Ltd,4 Floor Plan,Possession in 2026,67.8,[- 73.1 Lac],"[('67.8', 'Lac', '73.1', 'Lac')]",['in Bachupally '],['4']
Infocity County,,"in Patancheruvu , Hyderabad",by Infocity Builders,,Possession in 2027,,[],[],['in Patancheruvu '],[]
Sark South Medows 1,,"in Raviryal, Outer Ring Road , Hyderabad",by Sark Projects,2 Floor Plan,Possession in 2026,,[],[],['in Raviryal'],['2']
Divine City,,"in Nandigama Kothur , Hyderabad",by Divya Bhumi Developers,,Possession in 2026,,[],[],['in Nandigama Kothur '],[]
Trusted Walls Krishna Meridian ,,"in Injapur, Neeladri Nagar, Ibrahimpatnam Road , Hyderabad",by Trusted Walls Infra Projects,8 Floor Plan,Possession in 2024,,[],[],['in Injapur'],['8']
Hirize Elysia,,"in Narsingi, Outer Ring Road , Hyderabad",by Hirize Developers,11 Floor Plan,Possession in 2025,,[],[],['in Narsingi'],['11']
Origin Amogha,,"in Velmala , Hyderabad",by Origin Developers,2 Floor Plan,Possession in 2025,,[],[],['in Velmala '],['2']
Kompally County II,,"in Medchal , Hyderabad",by Greater Infra Projects,,Ready To Move,,[],[],['in Medchal '],[]
Aparna Grand,,"in Sadashivpet , Hyderabad",by Sathguru Homes,,Ready To Move,,[],[],['in Sadashivpet '],[]
SSK Nandan County,,"in Rudraram, NH 9 , Hyderabad",by Slaghika Developers,,Possession in 2026,,[],[],['in Rudraram'],[]
FGH Heights,,"in Narsingi, Outer Ring Road , Hyderabad",by FGH Infra Projects,7 Floor Plan,Possession in 2028,,[],[],['in Narsingi'],['7']
Vaishnavi Advaitha,,"in Balapur , Hyderabad",by Vaishnavi Infracon India Pvt. Ltd.,,Possession in 2028,,[],[],['in Balapur '],[]
Mitra Plots,,"in Kokapet, Outer Ring Road , Hyderabad",by Mitra Spaces,,Ready To Move,,[],[],['in Kokapet'],[]
Shangrilas Abbham,3.15 Cr -  4.63 Cr,"in Kismatpur, Outer Ring Road , Hyderabad",by Shangrila Infracon India Private Limited ,6 Floor Plan,Possession in 2029,315.0,[- 4.63 Cr],"[('3.15', 'Cr', '4.63', 'Cr')]",['in Kismatpur'],['6']
Candeur Twins,1.36 Cr -  1.77 Cr,"in Miyapur, NH 9 , Hyderabad",by Candeur Developers & Builders,10 Floor Plan,Possession in 2026,136.0,[- 1.77 Cr],"[('1.36', 'Cr', '1.77', 'Cr')]",['in Miyapur'],['10']
Myra,66 Lac -  1.15 Cr,"in Kompally , Hyderabad",by Viksha Projects,13 Floor Plan,Possession in 2025,66.0,[- 1.15 Cr],"[('66', 'Lac', '1.15', 'Cr')]",['in Kompally '],['13']
