companies,prices,locations,published_by,floors,construction_status,start_price,final_price,price_range,locality,floor_plan
Raghava IRIS,6.78 Cr -  8.26 Cr,"in Rai Durg , Hyderabad",by Raghava Projects,3 Floor Plan,Possession in 2026,678.0,[- 8.26 Cr],"[('6.78', 'Cr', '8.26', 'Cr')]",['in Rai Durg '],['3']
Srikruthi Elite,36.7 Lac -  68.6 Lac,"in Ibrahimpatnam , Hyderabad",0,,Possession in 2025,36.7,[- 68.6 Lac],"[('36.7', 'Lac', '68.6', 'Lac')]",['in Ibrahimpatnam '],[]
Sreenivasam,1.30 Cr -  1.92 Cr,"in Kondapur , Hyderabad",by N J R Constructions Pvt. Ltd.,4 Floor Plan,Possession in 2025,130.0,[- 1.92 Cr],"[('1.30', 'Cr', '1.92', 'Cr')]",['in Kondapur '],['4']
Urban Tree,,"in Isnapur, Outer Ring Road , Hyderabad",by MKT Praneeth Homes,9 Floor Plan,Possession in 2024,,[],[],['in Isnapur'],['9']
IRA M3,,"in Kollur, Outer Ring Road , Hyderabad",by IRA Realty,1 Floor Plan,Possession in 2025,,[],[],['in Kollur'],['1']
Urban Habitat,,"in Nagole , Hyderabad",by AASHVI VIJETHA LLP,18 Floor Plan,Possession in 2025,,[],[],['in Nagole '],['18']
SS Adithi,,"in Adibatla , Hyderabad",by Sri Sukhadah,1 Floor Plan,Under Construction,,[],[],['in Adibatla '],['1']
Sri Mani Sai S Kalyan Aawaas,,"in Kondapur , Hyderabad",0,,Possession in 2024,,[],[],['in Kondapur '],[]
Luminous Serenity,,"in Sangareddy , Hyderabad",by Luminous Paper Co,,Possession in 2024,,[],[],['in Sangareddy '],[]
MSM Sambavathi Lake View,,"in Suraram , Hyderabad",by MSM Venkatasai Builders Private Limited,,Possession in 2028,,[],[],['in Suraram '],[]
Aparna Cyberon,,"in Osman Nagar , Hyderabad",by Aparna Constructions and Estates Pvt. Ltd.,2 Floor Plan,Possession in 2027,,[],[],['in Osman Nagar '],['2']
Balaji Aura,,"in Bandlaguda Jagir , Hyderabad",by Credon Constructions,3 Floor Plan,Under Construction,,[],[],['in Bandlaguda Jagir '],['3']
Eka One By Raichandani,,"in Kokapet, Outer Ring Road , Hyderabad",by Raichandani Constructions,3 Floor Plan,Possession in 2028,,[],[],['in Kokapet'],['3']
Indis Myra Villas,,"in Turkapally , Hyderabad",by Indis,7 Floor Plan,Possession in 2027,,[],[],['in Turkapally '],['7']
Aparna Cyber Star,,"in Osman Nagar , Hyderabad",by Aparna Constructions and Estates Pvt. Ltd.,4 Floor Plan,Possession in 2027,,[],[],['in Osman Nagar '],['4']
Sri Hari Hara Nilayam,,"in Manneguda , Hyderabad",0,,Possession in 2025,,[],[],['in Manneguda '],[]
DSR Park Ridge,,"in Nalagandla , Hyderabad",by DSR Prime Spaces,4 Floor Plan,Possession in 2028,,[],[],['in Nalagandla '],['4']
Lahari Avanthika,,"in Bhanur , Hyderabad",by Lahari Infra,,Possession in 2025,,[],[],['in Bhanur '],[]
Annes Fortunegreenhome Swan,,"in Nizampet , Hyderabad",by Fortune Greenhomes,4 Floor Plan,Possession in 2028,,[],[],['in Nizampet '],['4']
Eswarrams Green View,,"in Kondapur , Hyderabad",0,1 Floor Plan,Possession in 2025,,[],[],['in Kondapur '],['1']
RRR County,,"in Choutuppal , Hyderabad",by Grupe Builders & Developers LLP,,Ready To Move,,[],[],['in Choutuppal '],[]
Lohiya Samppan ,,"in Kismatpur, Outer Ring Road , Hyderabad",by Lohiya Developers Private Limited,5 Floor Plan,Possession in 2025,,[],[],['in Kismatpur'],['5']
Praneeth Pranav Xperia,,"in Ghatkesar, NH 2 2 , Hyderabad",by Venkata Praneeth Developers Pvt Ltd ,4 Floor Plan,Possession in 2024,,[],[],['in Ghatkesar'],['4']
Jagsons Pride,,"in Suraram , Hyderabad",by Jagsons Projects,18 Floor Plan,Possession in 2024,,[],[],['in Suraram '],['18']
Boat Club,,"in Medchal , Hyderabad",by Srias Life Spaces LLP,5 Floor Plan,Possession in 2028,,[],[],['in Medchal '],['5']
Rukmini Pranava 101,,"in LB Nagar, NH 9 , Hyderabad",by Harispranava Constructions Pvt Ltd,12 Floor Plan,Possession in 2025,,[],[],['in LB Nagar'],['12']
Advaith Vedaas Aranya ,,"in Munganoor , Hyderabad",0,1 Floor Plan,Possession in 2025,,[],[],['in Munganoor '],['1']
Platinum SGR Residency,,"in Sahebnagar Kalan , Hyderabad",by Platinum Constructions,,Possession in 2024,,[],[],['in Sahebnagar Kalan '],[]
Sterling Grandeur,,"in Bachupally , Hyderabad",0,3 Floor Plan,Possession in 2025,,[],[],['in Bachupally '],['3']
